threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
0.7999999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8099999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8199999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8299999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8399999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8499999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8599999999999995,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8699999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8799999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8899999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8999999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
